Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Deaths,10/01/2022,All,0.3,0.1,0.9,3.0,0.3,0.4,0.3,0.6,1.3,0.7,591822,842535,1037067,2,1,9,999,999
Deaths,07/09/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Cases,11/12/2022,0-4,82.4,5.5,,15.0,,,,,,,162642,,,134,9,,0,4
Hospitalizations,08/13/2022,0-4,7.4,0.0,,,,,,,,,162642,,,12,0,,0,4
Cases,02/26/2022,0-4,54.1,,,,,,,,,,162642,,,88,,,0,4
Hospitalizations,12/11/2021,0-4,3.1,,,,,,,,,,162642,,,5,,,0,4
Hospitalizations,08/21/2021,80+,34.6,15.1,,2.3,,,,,,,31765,52936,,11,8,,80,200
Deaths,02/04/2023,50-64,2.9,0.8,0.4,3.6,7.2,,,,,,34169,125516,246849,1,1,1,50,64
Deaths,07/24/2021,80+,0.0,0.0,,,,,,,,,32759,52117,,0,0,,80,200
Cases,11/20/2021,0-4,104.5,,,,,,,,,,162642,,,170,,,0,4
Deaths,09/10/2022,5-11,0.0,0.0,0.0,,,,,,,,95349,82126,17689,0,0,0,5,11
Cases,10/23/2021,5-11,111.7,,,,,,,,,,210448,,,235,,,5,11
Deaths,07/23/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,07/16/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,08/06/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,04/03/2021,0-4,73.8,,,,,,,,,,162642,,,120,,,0,4
Deaths,07/02/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Cases,12/11/2021,0-4,200.4,,,,,,,,,,162642,,,326,,,0,4
Hospitalizations,05/20/2023,0-4,1.2,0.0,,,,,,,,,162642,,,2,0,,0,4
Hospitalizations,08/06/2022,0-4,6.1,0.0,,,,,,,,,162642,,,10,0,,0,4
Deaths,11/20/2021,5-11,0.0,0.0,,,,,,,,,166798,1,,0,0,,5,11
Hospitalizations,07/09/2022,0-4,6.1,,,,,,,,,,162642,,,10,,,0,4
Hospitalizations,07/23/2022,0-4,6.8,0.0,,,,,,,,,162642,,,11,0,,0,4
Deaths,08/13/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,09/04/2021,5-11,154.4,,,,,,,,,,210448,,,325,,,5,11
Deaths,04/09/2022,18-29,0.0,0.0,0.0,,,,,,,,98229,219416,147442,0,0,0,18,29
Hospitalizations,09/18/2021,12-17,0.0,0.0,,,,,,,,,71650,87028,,0,0,,12,17
Hospitalizations,03/18/2023,0-4,1.8,0.0,,,,,,,,,162642,,,3,0,,0,4
Deaths,11/13/2021,80+,13.6,9.9,0.0,1.4,,,,,,,29306,40458,14603,4,4,0,80,200
Hospitalizations,09/11/2021,80+,60.8,22.6,,2.7,,,,,,,31257,53008,,19,12,,80,200
Hospitalizations,11/26/2022,0-4,1.2,0.0,,,,,,,,,162642,,,2,0,,0,4
Deaths,03/04/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
